Time,Gaze
00:00:04.8235386,Brian (UnityEngine.CapsuleCollider)
00:00:04.8345397,Brian (UnityEngine.CapsuleCollider)
00:00:04.8454867,Brian (UnityEngine.CapsuleCollider)
00:00:04.8567905,Brian (UnityEngine.CapsuleCollider)
00:00:04.8677409,Brian (UnityEngine.CapsuleCollider)
00:00:04.8796242,Brian (UnityEngine.CapsuleCollider)
00:00:04.8904319,Brian (UnityEngine.CapsuleCollider)
00:00:04.9014217,Brian (UnityEngine.CapsuleCollider)
00:00:04.9123175,Brian (UnityEngine.CapsuleCollider)
00:00:04.9235265,Brian (UnityEngine.CapsuleCollider)
00:00:04.9342663,Brian (UnityEngine.CapsuleCollider)
00:00:04.9454657,Brian (UnityEngine.CapsuleCollider)
00:00:04.9567316,Brian (UnityEngine.CapsuleCollider)
00:00:04.9676289,Brian (UnityEngine.CapsuleCollider)
00:00:04.9789033,Brian (UnityEngine.CapsuleCollider)
00:00:04.9902011,Brian (UnityEngine.CapsuleCollider)
00:00:05.0011960,Brian (UnityEngine.CapsuleCollider)
00:00:05.0124371,Brian (UnityEngine.CapsuleCollider)
00:00:05.0236509,Brian (UnityEngine.CapsuleCollider)
00:00:05.0346769,Brian (UnityEngine.CapsuleCollider)
00:00:05.0459786,Brian (UnityEngine.CapsuleCollider)
00:00:05.0571639,Brian (UnityEngine.CapsuleCollider)
00:00:05.0680779,Brian (UnityEngine.CapsuleCollider)
00:00:05.0794743,Brian (UnityEngine.CapsuleCollider)
00:00:05.0904488,Brian (UnityEngine.CapsuleCollider)
00:00:05.1018318,Brian (UnityEngine.CapsuleCollider)
00:00:05.1128409,Brian (UnityEngine.CapsuleCollider)
00:00:05.1240183,Brian (UnityEngine.CapsuleCollider)
00:00:05.1352963,Brian (UnityEngine.CapsuleCollider)
00:00:05.1463423,Brian (UnityEngine.CapsuleCollider)
00:00:05.1576100,Brian (UnityEngine.CapsuleCollider)
00:00:05.1688527,Brian (UnityEngine.CapsuleCollider)
00:00:05.1803045,Brian (UnityEngine.CapsuleCollider)
00:00:05.1916221,Brian (UnityEngine.CapsuleCollider)
00:00:05.2060856,Brian (UnityEngine.CapsuleCollider)
00:00:05.2179994,Brian (UnityEngine.CapsuleCollider)
00:00:05.2251749,Brian (UnityEngine.CapsuleCollider)
00:00:05.2365553,Brian (UnityEngine.CapsuleCollider)
00:00:05.2477554,Brian (UnityEngine.CapsuleCollider)
00:00:05.2587183,Brian (UnityEngine.CapsuleCollider)
00:00:05.2701481,Brian (UnityEngine.CapsuleCollider)
00:00:05.2810670,Brian (UnityEngine.CapsuleCollider)
00:00:05.2920490,Brian (UnityEngine.CapsuleCollider)
00:00:05.3035550,Brian (UnityEngine.CapsuleCollider)
00:00:05.3144130,Brian (UnityEngine.CapsuleCollider)
00:00:05.3254743,Brian (UnityEngine.CapsuleCollider)
00:00:05.3369046,Brian (UnityEngine.CapsuleCollider)
00:00:05.3478632,Brian (UnityEngine.CapsuleCollider)
00:00:05.3589353,Brian (UnityEngine.CapsuleCollider)
00:00:05.3703550,Brian (UnityEngine.CapsuleCollider)
00:00:05.3813722,Brian (UnityEngine.CapsuleCollider)
00:00:05.3922195,Brian (UnityEngine.CapsuleCollider)
00:00:05.4034896,Brian (UnityEngine.CapsuleCollider)
00:00:05.4146820,Brian (UnityEngine.CapsuleCollider)
00:00:05.4255317,Brian (UnityEngine.CapsuleCollider)
00:00:05.4364517,Brian (UnityEngine.CapsuleCollider)
00:00:05.4480764,Brian (UnityEngine.CapsuleCollider)
00:00:05.4587297,Brian (UnityEngine.CapsuleCollider)
00:00:05.4697968,Brian (UnityEngine.CapsuleCollider)
00:00:05.4810538,Brian (UnityEngine.CapsuleCollider)
00:00:05.4921588,Brian (UnityEngine.CapsuleCollider)
00:00:05.5033282,Brian (UnityEngine.CapsuleCollider)
00:00:05.5147707,Brian (UnityEngine.CapsuleCollider)
00:00:05.5258118,Brian (UnityEngine.CapsuleCollider)
00:00:05.5364925,Brian (UnityEngine.CapsuleCollider)
00:00:05.5478079,Brian (UnityEngine.CapsuleCollider)
00:00:05.5587798,Brian (UnityEngine.CapsuleCollider)
00:00:05.5698484,Brian (UnityEngine.CapsuleCollider)
00:00:05.5813533,Brian (UnityEngine.CapsuleCollider)
00:00:05.5922771,Brian (UnityEngine.CapsuleCollider)
00:00:05.6032202,Brian (UnityEngine.CapsuleCollider)
00:00:05.6148230,Brian (UnityEngine.CapsuleCollider)
00:00:05.6255618,Brian (UnityEngine.CapsuleCollider)
00:00:05.6368129,Brian (UnityEngine.CapsuleCollider)
00:00:05.6479582,Brian (UnityEngine.CapsuleCollider)
00:00:05.6589785,Brian (UnityEngine.CapsuleCollider)
